2025-06-25 22:40:13,786 INFO: Request data: {'ticker': 'AAPL', 'startDate': '2024-06-01', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 22:44:14,381 INFO: Request data: {'ticker': 'AAPL', 'startDate': '2024-06-01', 'endDate': '2025-06-09', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 22:45:11,183 INFO: Request data: {'ticker': 'AAPL', 'startDate': '2025-06-01', 'endDate': '2025-06-09', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:09:34,607 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-01', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:10:31,494 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-01', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:12:25,969 INFO: Request data: {'ticker': 'GAZP', 'startDate': '2024-06-01', 'endDate': '2025-06-18', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:15:19,712 INFO: Request data: {'ticker': 'GAZP', 'startDate': '2024-06-01', 'endDate': '2025-06-18', 'interval': '1d'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:15:26,040 INFO: Request data: {'ticker': 'GAZP', 'startDate': '2024-06-01', 'endDate': '2025-06-18', 'interval': '1m'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:15:33,588 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-01', 'endDate': '2025-06-18', 'interval': '1m'} [in D:\!IT\Algo\app.py:46]
2025-06-25 23:17:54,350 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-01', 'endDate': '2025-06-24', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:20:33,764 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-25', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:23:03,200 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-07', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:23:07,102 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-07', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:23:30,573 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-07', 'endDate': '2025-06-25', 'interval': '1m'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:23:34,058 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-07', 'endDate': '2025-06-25', 'interval': '30m'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:23:37,676 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-07', 'endDate': '2025-06-25', 'interval': '3mo'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:29:40,284 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-23', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:34:49,052 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-23', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:35:21,300 INFO: Request data: {'ticker': '€»” ', 'startDate': '2025-06-23', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:36:36,605 INFO: Request data: {'ticker': 'GAZP', 'startDate': '2025-06-23', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:36:43,058 INFO: Request data: {'ticker': 'GAZP', 'startDate': '2025-06-23', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:44:20,127 INFO: Request data: {'ticker': 'VTBR', 'startDate': '2025-06-02', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:47:19,176 INFO: Request data: {'ticker': 'SBER', 'startDate': '2025-06-16', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
2025-06-25 23:49:32,457 INFO: Request data: {'ticker': 'SBER', 'startDate': '2024-06-25', 'endDate': '2025-06-25', 'interval': '1d'} [in D:\!IT\Algo\app.py:67]
